668,723,855,623
528,753,778,898
667,912,757,526
932,563,710,928
756,846,756,717
721,983,704,574
854,823,845,671
719,528,555,820
593,821,521,811
843,759,872,561
985,699,670,627
746,590,914,669
575,659,863,836
993,626,682,830
856,974,579,604
698,793,607,809
991,929,758,736
773,584,774,568
564,725,546,953
801,937,625,925
505,768,749,978
974,711,604,522
945,724,794,508
964,993,841,893
706,705,741,893
530,676,728,515
530,543,964,659
527,505,683,852
897,765,736,667
897,502,694,899
934,792,577,660
631,641,918,663
672,575,567,620
995,675,569,501
601,669,803,955
853,503,746,940
840,908,691,766
787,585,700,755
787,832,830,639
742,972,706,690
561,976,731,617
787,611,778,549
779,664,721,641
988,688,952,604
838,836,566,549
633,768,954,947
608,645,860,556
966,780,769,624
964,878,765,784
827,707,823,899
901,999,872,586
755,991,576,708
569,616,712,991
633,683,600,830
913,928,731,931
975,597,885,963
502,957,846,708
836,859,948,679
771,913,949,661
846,680,876,676
788,901,992,655
781,725,650,627
520,875,846,695
667,632,782,718
801,847,903,791
710,625,871,518
865,723,651,537
646,963,935,697
790,516,754,835
815,894,603,543
961,536,831,977
692,593,718,720
831,719,913,872
988,544,845,769
860,654,758,918
794,856,856,808
892,886,914,513
827,745,997,718
631,965,945,511
570,885,633,666
587,929,630,974
951,883,703,524
798,684,574,997
547,949,520,703
938,535,687,982
645,541,565,706
880,683,857,678
970,530,694,778
941,781,556,787
732,950,610,739
739,634,965,994
654,647,670,868
637,775,842,931
543,871,603,850
766,872,833,940
805,867,881,773
590,692,858,507
579,546,658,752
579,567,599,683
832,948,780,768
